Sr. No,Title,Company,City,CTC,Exp,Rating,Reviews
0,Data Science Analyst-Insurance Data Sciences,Xceedance,Gurugram,350000,0,3.8,142
1,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,Bengaluru,350000,1,3.6,41
2,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Bengaluru,650000,4,4.1,2017
3,Data Science Analyst 2,Epsilon,Bengaluru,350000,2,3.8,189
4,Team Lead/ Sr. Scientist- Analytics & Data Science,Global Analytics India Pvt. Ltd,NCR,650000,3,3.7,36
5,Python Developer with Data science Background,R Systems International Ltd.,Noida),650000,4,3.1,302
6,Artificial intelligence  and Data science Developer For Virtusa,Virtusa Consulting Services Pvt Ltd,Secunderabad,500000,4,3.4,1032
7,Data Science Associate Consultant,ZS Associates,Delhi,650000,3,3.8,387
8,Data Science,Capgemini Technology Services India Limited,Mumbai,950000,6,3.6,12372
9,Data Science Consultant,ZS Associates,Delhi,950000,5,3.8,387
10,Urgently hiring For Data science Analysts - Pune - 4+ Yrs,FIS Global Business Solutions India Pvt. Ltd.,Remote,500000,4,4.0,1831
11,Opening For Data Data Science Analyst  & Data Analyst,Motilal Oswal Financial Services,Remote,800000,5,3.5,557
